drug_id,ind_id
Compound_DB08930,Disease_C0019693
Compound_DB01053,Disease_C0003177
Compound_DB00873,Disease_C0022081
Compound_DB00766,Disease_C0032308
Compound_DB00303,Disease_C0004626
Compound_DB09026,Disease_C0020538
Compound_DB00359,Disease_C0008513
Compound_DB01590,Disease_C0678222
Compound_DB01211,Disease_C0004626
Compound_DB00599,Disease_C0033845
Compound_DB01068,Disease_C0014553
Compound_DB00427,Disease_C0009766
Compound_DB00623,Disease_C0036341
Compound_DB00341,Disease_C0035460
Compound_DB01130,Disease_C0033775
Compound_DB00978,Disease_C0006277
Compound_DB06691,Disease_C0027424
Compound_DB08873,Disease_C0524910
Compound_DB05109,Disease_C1140680
Compound_DB00405,Disease_C0033774
Compound_DB00438,Disease_C0456107
Compound_DB00684,Disease_C0456107
Compound_DB01155,Disease_C0155862
Compound_DB01211,Disease_C0554628
Compound_DB00433,Disease_C0036341
Compound_DB01607,Disease_C0684256
Compound_DB00499,Disease_C0033578
Compound_DB09125,Disease_C0020621
Compound_DB01036,Disease_C0085606
Compound_DB00798,Disease_C0456103
Compound_DB01580,Disease_C0020538
Compound_DB00744,Disease_C0155877
Compound_DB00760,Disease_C0243001
Compound_DB00938,Disease_C0034067
Compound_DB00223,Disease_C0085074
Compound_DB00826,Disease_C1262117
Compound_DB01331,Disease_C0031154
Compound_DB00512,Disease_C0152965
Compound_DB01606,Disease_C0004626
Compound_DB00869,Disease_C0028840
Compound_DB01158,Disease_C0085612
Compound_DB00290,Disease_C0007847
Compound_DB01331,Disease_C0276088
Compound_DB00186,Disease_C0038220
Compound_DB08901,Disease_C0023473
Compound_DB01192,Disease_C0474368
Compound_DB01220,Disease_C0019151
Compound_DB00260,Disease_C0275959
Compound_DB09555,Disease_C2607914
Compound_DB01053,Disease_C0024110
Compound_DB00218,Disease_C0031154
Compound_DB01146,Disease_C0035460
Compound_DB00880,Disease_C0264716
Compound_DB01116,Disease_C0034063
Compound_DB01212,Disease_C0032308
Compound_DB01246,Disease_C2607914
Compound_DB06691,Disease_C0013390
Compound_DB00520,Disease_C0239295
Compound_DB01053,Disease_C0031350
Compound_DB00681,Disease_C0009186
Compound_DB00290,Disease_C0024301
Compound_DB01068,Disease_C0030319
Compound_DB04878,Disease_C0017205
Compound_DB01212,Disease_C2028293
Compound_DB00643,Disease_C0040954
Compound_DB01246,Disease_C0037383
Compound_DB01607,Disease_C0014347
Compound_DB01150,Disease_C0041912
Compound_DB01413,Disease_C1112209
Compound_DB00948,Disease_C0018081
Compound_DB01331,Disease_C0032308
Compound_DB11591,Disease_C0042109
Compound_DB01607,Disease_C0032308
Compound_DB00626,Disease_C0022568
Compound_DB09050,Disease_C0042029
Compound_DB00254,Disease_C0035585
Compound_DB00681,Disease_C0149704
Compound_DB00927,Disease_C0013395
Compound_DB09555,Disease_C0009766
Compound_DB00746,Disease_C1739382
Compound_DB01130,Disease_C0406317
Compound_DB00609,Disease_C0041327
Compound_DB00646,Disease_C0006846
Compound_DB01282,Disease_C0032897
Compound_DB00938,Disease_C0155880
Compound_DB01331,Disease_C0152964
Compound_DB00842,Disease_C0003467
Compound_DB00803,Disease_C0854135
Compound_DB00424,Disease_C0030920
Compound_DB06274,Disease_C0400877
Compound_DB01067,Disease_C0011860
Compound_DB00654,Disease_C0017612
Compound_DB00622,Disease_C0020538
Compound_DB00798,Disease_C0031154
Compound_DB01139,Disease_C0152965
Compound_DB00618,Disease_C0037199
Compound_DB00681,Disease_C0023290
Compound_DB00873,Disease_C0022073
Compound_DB00681,Disease_C0019655
Compound_DB04845,Disease_C0678222
Compound_DB00618,Disease_C0007947
Compound_DB00299,Disease_C1274323
Compound_DB09118,Disease_C0751122
Compound_DB00223,Disease_C0406326
Compound_DB00927,Disease_C0038358
Compound_DB00858,Disease_C0042164
Compound_DB01091,Disease_C0040252
Compound_DB00341,Disease_C2607914
Compound_DB01114,Disease_C2607914
Compound_DB00927,Disease_C0043515
Compound_DB00681,Disease_C0005716
Compound_DB01060,Disease_C0149725
Compound_DB00685,Disease_C0276089
Compound_DB09128,Disease_C0036341
Compound_DB00970,Disease_C1135868
Compound_DB00384,Disease_C0020538
Compound_DB00844,Disease_C0474368
Compound_DB01053,Disease_C0025306
Compound_DB11596,Disease_C0016412
Compound_DB01068,Disease_C0238111
Compound_DB00798,Disease_C0085437
Compound_DB00590,Disease_C0020538
Compound_DB00438,Disease_C0155860
Compound_DB01130,Disease_C0406326
Compound_DB00703,Disease_C0017612
Compound_DB01139,Disease_C0152964
Compound_DB00954,Disease_C0006277
Compound_DB00207,Disease_C0007947
Compound_DB05521,Disease_C0524910
Compound_DB01606,Disease_C0003615
Compound_DB00263,Disease_C0271429
Compound_DB00803,Disease_C0029878
Compound_DB00710,Disease_C0029458
Compound_DB06267,Disease_C0242350
Compound_DB00341,Disease_C0037383
Compound_DB00684,Disease_C0042165
Compound_DB00681,Disease_C0006309
Compound_DB00681,Disease_C0006849
Compound_DB00413,Disease_C0035258
Compound_DB00646,Disease_C0006848
Compound_DB00186,Disease_C0030319
Compound_DB00798,Disease_C0276088
Compound_DB01210,Disease_C0028840
Compound_DB00438,Disease_C0684256
Compound_DB01146,Disease_C0343065
Compound_DB00420,Disease_C0027424
Compound_DB00685,Disease_C0857846
Compound_DB00835,Disease_C1260880
Compound_DB01053,Disease_C0456107
Compound_DB06211,Disease_C0008325
Compound_DB00681,Disease_C0035021
Compound_DB08797,Disease_C0393735
Compound_DB06402,Disease_C0004626
Compound_DB00299,Disease_C0019345
Compound_DB00978,Disease_C0042029
Compound_DB00927,Disease_C0017168
Compound_DB01330,Disease_C0014836
Compound_DB00684,Disease_C0010930
Compound_DB00426,Disease_C1274323
Compound_DB01218,Disease_C0024535
Compound_DB00405,Disease_C0009766
Compound_DB09144,Disease_C0220987
Compound_DB00869,Disease_C0017612
Compound_DB00685,Disease_C1720797
Compound_DB00842,Disease_C0001957
Compound_DB01260,Disease_C0029878
Compound_DB01254,Disease_C0279543
Compound_DB00568,Disease_C0026603
Compound_DB01114,Disease_C0042109
Compound_DB00405,Disease_C0392171
Compound_DB01063,Disease_C0033975
Compound_DB00268,Disease_C0030567
Compound_DB00685,Disease_C1263758
Compound_DB00507,Disease_C0010418
Compound_DB01139,Disease_C0032285
Compound_DB01331,Disease_C1263758
Compound_DB00792,Disease_C0033774
Compound_DB01501,Disease_C0011991
Compound_DB00706,Disease_C1739363
Compound_DB00798,Disease_C0854211
Compound_DB00359,Disease_C0037299
Compound_DB11591,Disease_C2607914
Compound_DB00681,Disease_C0001261
Compound_DB00858,Disease_C0035854
Compound_DB00460,Disease_C0271084
Compound_DB00254,Disease_C0023860
Compound_DB00198,Disease_C0021400
Compound_DB00405,Disease_C2607914
Compound_DB01606,Disease_C0243001
Compound_DB00467,Disease_C0018081
Compound_DB01331,Disease_C0684256
Compound_DB01246,Disease_C0343065
Compound_DB00948,Disease_C0155860
Compound_DB00438,Disease_C0157749
Compound_DB01331,Disease_C0243001
Compound_DB01147,Disease_C0032308
Compound_DB01590,Disease_C0241961
Compound_DB09324,Disease_C1263758
Compound_DB06211,Disease_C0243001
Compound_DB01330,Disease_C1318973
Compound_DB00254,Disease_C0029291
Compound_DB01253,Disease_C0032797
Compound_DB09324,Disease_C0014836
Compound_DB00223,Disease_C0015230
Compound_DB00626,Disease_C0854211
Compound_DB00186,Disease_C0014553
Compound_DB00681,Disease_C0006840
Compound_DB00934,Disease_C0011581
Compound_DB01114,Disease_C0037383
Compound_DB00760,Disease_C1632842
Compound_DB00902,Disease_C0037383
Compound_DB01146,Disease_C0009766
Compound_DB00479,Disease_C0745528
Compound_DB01146,Disease_C0027424
Compound_DB00792,Disease_C0042109
Compound_DB00685,Disease_C0032302
Compound_DB00798,Disease_C0339968
Compound_DB00207,Disease_C0032302
Compound_DB00902,Disease_C0042109
Compound_DB00845,Disease_C0023343
Compound_DB01053,Disease_C0025295
Compound_DB09125,Disease_C0001126
Compound_DB01331,Disease_C0024110
Compound_DB01053,Disease_C1318973
Compound_DB04843,Disease_C0030920
Compound_DB01068,Disease_C0270846
Compound_DB00685,Disease_C0155860
Compound_DB06292,Disease_C0011860
Compound_DB00454,Disease_C0030193
Compound_DB00835,Disease_C0009766
Compound_DB00618,Disease_C0041471
Compound_DB00353,Disease_C0032797
Compound_DB00290,Disease_C0007137
Compound_DB08890,Disease_C1868889
Compound_DB00927,Disease_C0013295
Compound_DB01147,Disease_C0152965
Compound_DB00420,Disease_C0027497
Compound_DB00905,Disease_C0017612
Compound_DB00681,Disease_C0006277
Compound_DB01106,Disease_C0009766
Compound_DB00310,Disease_C0020538
Compound_DB09034,Disease_C0917801
Compound_DB06212,Disease_C0020625
Compound_DB01212,Disease_C2242472
Compound_DB00833,Disease_C0032285
Compound_DB11575,Disease_C0524910
Compound_DB00873,Disease_C0406486
Compound_DB01082,Disease_C0032064
Compound_DB09128,Disease_C1269683
Compound_DB08890,Disease_C0022104
Compound_DB00970,Disease_C0027708
Compound_DB00912,Disease_C0011860
Compound_DB00801,Disease_C0003467
Compound_DB00479,Disease_C0032308
Compound_DB01053,Disease_C0014121
Compound_DB01082,Disease_C0041327
Compound_DB00976,Disease_C0155862
Compound_DB04876,Disease_C0011860
Compound_DB00479,Disease_C0085437
Compound_DB09040,Disease_C0040261
Compound_DB06335,Disease_C0011860
Compound_DB00601,Disease_C0032308
Compound_DB01243,Disease_C0423775
Compound_DB00835,Disease_C0343065
Compound_DB01060,Disease_C0031350
Compound_DB01000,Disease_C0006277
Compound_DB00341,Disease_C0578870
Compound_DB00618,Disease_C0035793
Compound_DB00954,Disease_C0040425
Compound_DB08797,Disease_C0015967
Compound_DB01053,Disease_C0014733
Compound_DB09296,Disease_C0524910
Compound_DB01114,Disease_C0009766
Compound_DB01413,Disease_C0155860
Compound_DB01139,Disease_C0149725
Compound_DB00442,Disease_C0524909
Compound_DB00237,Disease_C0013428
Compound_DB01238,Disease_C0004352
Compound_DB00320,Disease_C0009088
Compound_DB00609,Disease_C0275959
Compound_DB00254,Disease_C0035021
Compound_DB00424,Disease_C0085610
Compound_DB00766,Disease_C0684256
Compound_DB06211,Disease_C1632842
Compound_DB01606,Disease_C0031154
Compound_DB08823,Disease_C0030757
Compound_DB00254,Disease_C0003177
Compound_DB00254,Disease_C0340354
Compound_DB09555,Disease_C0042109
Compound_DB01265,Disease_C0524909
Compound_DB00106,Disease_C2711256
Compound_DB00838,Disease_C0024138
Compound_DB00186,Disease_C0270846
Compound_DB09068,Disease_C1269683
Compound_DB01053,Disease_C0025294
Compound_DB01192,Disease_C0030193
Compound_DB01602,Disease_C0018081
Compound_DB01212,Disease_C0152964
Compound_DB01130,Disease_C0015230
Compound_DB00479,Disease_C0029443
Compound_DB11582,Disease_C0026838
Compound_DB00479,Disease_C0276088
Compound_DB01294,Disease_C0011991
Compound_DB00420,Disease_C0002994
Compound_DB00520,Disease_C0877445
Compound_DB00948,Disease_C1112209
Compound_DB00341,Disease_C1260880
Compound_DB00420,Disease_C0036341
Compound_DB01607,Disease_C0004626
Compound_DB01114,Disease_C0018621
Compound_DB00512,Disease_C1318973
Compound_DB00927,Disease_C0018834
Compound_DB00460,Disease_C0271066
Compound_DB00681,Disease_C0042029
Compound_DB01130,Disease_C0024138
Compound_DB00792,Disease_C0343065
Compound_DB01606,Disease_C0242172
Compound_DB00274,Disease_C0276089
Compound_DB00303,Disease_C0744130
Compound_DB01212,Disease_C0157749
Compound_DB09555,Disease_C0033774
Compound_DB00684,Disease_C0341503
Compound_DB00940,Disease_C0042024
Compound_DB01220,Disease_C0348898
Compound_DB08797,Disease_C0030193
Compound_DB00423,Disease_C0026838
Compound_DB00254,Disease_C0041351
Compound_DB00798,Disease_C2242472
Compound_DB00662,Disease_C0027498
Compound_DB00800,Disease_C0024588
Compound_DB09488,Disease_C0027424
Compound_DB01150,Disease_C0006277
Compound_DB00685,Disease_C1278797
Compound_DB00684,Disease_C0276089
Compound_DB00954,Disease_C0032285
Compound_DB08976,Disease_C0184567
Compound_DB01147,Disease_C0037199
Compound_DB01114,Disease_C0009443
Compound_DB00420,Disease_C0027498
Compound_DB04842,Disease_C0036341
Compound_DB00254,Disease_C0036472
Compound_DB06626,Disease_C0007134
Compound_DB00190,Disease_C0242422
Compound_DB01091,Disease_C1384589
Compound_DB00681,Disease_C0032285
Compound_DB00512,Disease_C0339968
Compound_DB00405,Disease_C0343065
Compound_DB09324,Disease_C0341503
Compound_DB00989,Disease_C0002395
Compound_DB01122,Disease_C0026896
Compound_DB01228,Disease_C0151636
Compound_DB00420,Disease_C0033975
Compound_DB08797,Disease_C0004604
Compound_DB01289,Disease_C0011860
Compound_DB00662,Disease_C0027497
Compound_DB00405,Disease_C0035460
Compound_DB00341,Disease_C0018621
Compound_DB00186,Disease_C0238111
Compound_DB00704,Disease_C0028754
Compound_DB00263,Disease_C0042029
Compound_DB01146,Disease_C0033774
Compound_DB00207,Disease_C1318973
Compound_DB01590,Disease_C0041341
Compound_DB01148,Disease_C0042024
Compound_DB00237,Disease_C0917801
Compound_DB08931,Disease_C2363973
Compound_DB00846,Disease_C0011616
Compound_DB00420,Disease_C0343065
Compound_DB00254,Disease_C0018081
Compound_DB01150,Disease_C0271429
Compound_DB00858,Disease_C0022081
Compound_DB00858,Disease_C0002874
Compound_DB00835,Disease_C0392171
Compound_DB04908,Disease_C0020594
Compound_DB00845,Disease_C0085652
Compound_DB00838,Disease_C0036508
Compound_DB01113,Disease_C0917798
Compound_DB00938,Disease_C0155877
Compound_DB00223,Disease_C0149922
Compound_DB01212,Disease_C0014836
Compound_DB00137,Disease_C0013238
Compound_DB01212,Disease_C0007947
Compound_DB00209,Disease_C0085606
Compound_DB00685,Disease_C0032308
Compound_DB06702,Disease_C0085606
Compound_DB01053,Disease_C0003175
Compound_DB08871,Disease_C0023827
Compound_DB00240,Disease_C0079773
Compound_DB09324,Disease_C1318973
Compound_DB00656,Disease_C1269683
Compound_DB01260,Disease_C0036508
Compound_DB01606,Disease_C0949083
Compound_DB00684,Disease_C0022573
Compound_DB00373,Disease_C0028840
Compound_DB01060,Disease_C0155862
Compound_DB00684,Disease_C0014836
Compound_DB01212,Disease_C0014347
Compound_DB00962,Disease_C0393760
Compound_DB00684,Disease_C0456103
Compound_DB01030,Disease_C0007847
Compound_DB01331,Disease_C0157749
Compound_DB00618,Disease_C0006277
Compound_DB00479,Disease_C2242472
Compound_DB00426,Disease_C0019360
Compound_DB00766,Disease_C0042029
Compound_DB08828,Disease_C0007117
Compound_DB00905,Disease_C0028840
Compound_DB00798,Disease_C0157749
Compound_DB00557,Disease_C0011615
Compound_DB00254,Disease_C0006309
Compound_DB00479,Disease_C0854248
Compound_DB01030,Disease_C0149925
Compound_DB01114,Disease_C0035460
Compound_DB06401,Disease_C0029458
Compound_DB01060,Disease_C0042029
Compound_DB00310,Disease_C0013604
Compound_DB00950,Disease_C0018621
Compound_DB00798,Disease_C0016436
Compound_DB00833,Disease_C0031350
Compound_DB01126,Disease_C1739363
Compound_DB00871,Disease_C0034067
Compound_DB00341,Disease_C0009766
Compound_DB00940,Disease_C0038358
Compound_DB01331,Disease_C1112209
Compound_DB01193,Disease_C0151636
Compound_DB06212,Disease_C0085413
Compound_DB01211,Disease_C0032302
Compound_DB04911,Disease_C0038166
Compound_DB01053,Disease_C0271429
Compound_DB00948,Disease_C0684256
Compound_DB00684,Disease_C0276088
Compound_DB00858,Disease_C0009766
Compound_DB00320,Disease_C0149931
Compound_DB00218,Disease_C0155862
Compound_DB09488,Disease_C0009443
Compound_DB00670,Disease_C0030920
Compound_DB00290,Disease_C0080032
Compound_DB00479,Disease_C0684256
Compound_DB01330,Disease_C0004626
Compound_DB09223,Disease_C0036341
Compound_DB00846,Disease_C0149922
Compound_DB00303,Disease_C0155862
Compound_DB00420,Disease_C0009766
Compound_DB00833,Disease_C0040425
Compound_DB01114,Disease_C0392171
Compound_DB00512,Disease_C0456103
Compound_DB00254,Disease_C0008354
Compound_DB00517,Disease_C0038358
Compound_DB01260,Disease_C0024138
Compound_DB00405,Disease_C0018621
Compound_DB06820,Disease_C0040262
Compound_DB01211,Disease_C0155804
Compound_DB00684,Disease_C0155860
Compound_DB00254,Disease_C0004626
Compound_DB01254,Disease_C0023472
Compound_DB00274,Disease_C0149725
Compound_DB01212,Disease_C0014179
Compound_DB00798,Disease_C0008311
Compound_DB00589,Disease_C0001206
Compound_DB05245,Disease_C0037299
Compound_DB00268,Disease_C0035258
Compound_DB01060,Disease_C0004626
Compound_DB01331,Disease_C0018081
Compound_DB00679,Disease_C3544321
Compound_DB08984,Disease_C0029408
Compound_DB01330,Disease_C0554628
Compound_DB00703,Disease_C0149893
Compound_DB01211,Disease_C0155862
Compound_DB01211,Disease_C0271429
Compound_DB00274,Disease_C0042029
Compound_DB00528,Disease_C0020538
Compound_DB00803,Disease_C0022729
Compound_DB00479,Disease_C0339968
Compound_DB01029,Disease_C0020538
Compound_DB08998,Disease_C0011581
Compound_DB00792,Disease_C0009766
Compound_DB00684,Disease_C0949083
Compound_DB00970,Disease_C0035412
Compound_DB00827,Disease_C0042029
Compound_DB00618,Disease_C0040592
Compound_DB00766,Disease_C0004626
Compound_DB00438,Disease_C0276089
Compound_DB01158,Disease_C0042510
Compound_DB00704,Disease_C0150055
Compound_DB01053,Disease_C0155862
Compound_DB01177,Disease_C0023487
Compound_DB00845,Disease_C1562585
Compound_DB01260,Disease_C0010346
Compound_DB00383,Disease_C0030920
Compound_DB00479,Disease_C0456107
Compound_DB00525,Disease_C0040262
Compound_DB09352,Disease_C0026961
Compound_DB01114,Disease_C1260880
Compound_DB00846,Disease_C0406326
Compound_DB09230,Disease_C0020538
Compound_DB00902,Disease_C0002994
Compound_DB00496,Disease_C0042023
Compound_DB00643,Disease_C0003950
Compound_DB00798,Disease_C0155860
Compound_DB00218,Disease_C0032302
Compound_DB01607,Disease_C0155860
Compound_DB00290,Disease_C1336708
Compound_DB01114,Disease_C0027424
Compound_DB08909,Disease_C0154246
Compound_DB08896,Disease_C0238198
Compound_DB00427,Disease_C0033774
Compound_DB00496,Disease_C0085606
Compound_DB00479,Disease_C1112209
Compound_DB04938,Disease_C1384606
Compound_DB01260,Disease_C0004096
Compound_DB01029,Disease_C0011881
Compound_DB00287,Disease_C0017612
Compound_DB00479,Disease_C0152965
Compound_DB01030,Disease_C1140680
Compound_DB01150,Disease_C0554628
Compound_DB00240,Disease_C0149922
Compound_DB00950,Disease_C2607914
Compound_DB01000,Disease_C0031350
Compound_DB00846,Disease_C0011615
Compound_DB04843,Disease_C0038358
Compound_DB00254,Disease_C0040592
Compound_DB00420,Disease_C0162565
Compound_DB00932,Disease_C0019693
Compound_DB00950,Disease_C0037383
Compound_DB00601,Disease_C1318973
Compound_DB01036,Disease_C0042023
Compound_DB01139,Disease_C0684256
Compound_DB00290,Disease_C0278996
Compound_DB00618,Disease_C0035021
Compound_DB01606,Disease_C1318973
Compound_DB00838,Disease_C0079773
Compound_DB00669,Disease_C0149931
Compound_DB01244,Disease_C0002962
Compound_DB00873,Disease_C0009766
Compound_DB09477,Disease_C0020538
Compound_DB01214,Disease_C0017612
Compound_DB06290,Disease_C0524910
